1	ACHILLE	ACHILLE HS	4	4	0	0	0	0	0	0	2	2	0	33.8363	-96.3933
2	ADA	ADA HS	78	40	10	16	4	4	0	4	45	33	4	34.7602	-96.6578
3	ADAIR	ADAIR HS	27	19	0	4	2	0	0	2	10	17	0	36.4343	-95.2689
4	AFTON	AFTON HS	13	7	0	4	0	2	0	0	6	7	0	36.6887	-94.9586
5	AGRA	AGRA HS	2	2	0	0	0	0	0	0	2	0	0	35.8961	-96.8711
6	ALEX	ALEX HS	30	16	4	4	2	0	0	4	14	16	0	34.9166	-97.7769
7	ALINE-CLEO	ALINE-CLEO HS	0	0	0	0	0	0	0	0	0	0	0	36.5122	-98.4474
8	ALLEN	ALLEN HS	2	2	0	0	0	0	0	0	0	2	0	34.8798	-96.4122
9	ALTUS	ALTUS HS	126	58	40	4	10	4	0	10	63	63	4	34.641	-99.3189
10	ALVA	ALVA HS	38	28	2	4	4	0	0	0	20	18	2	36.8038	-98.6806
11	AMBER-POCASSET	AMBER-POCASSET HS	15	13	0	2	0	0	0	0	7	8	0	35.1599	-97.8753
12	ANADARKO	ANADARKO HS	28	10	2	16	0	0	0	0	15	13	2	35.0614	-98.2562
13	ANTLERS	ANTLERS HS	27	13	4	10	0	0	0	0	15	12	0	34.239	-95.6197
14	ARAPAHO-BUTLER	ARAPAHO-BUTLER HS	9	7	0	0	0	0	0	2	4	5	0	35.5796	-98.967
15	ARDMORE	ARDMORE HS	186	73	28	16	34	4	0	31	81	105	2	34.2029	-97.1313
16	ARKOMA	ARKOMA HS	0	0	0	0	0	0	0	0	0	0	0	35.3551	-94.4337
17	ARNETT	ARNETT HS	11	7	2	2	0	0	0	0	4	7	0	36.1386	-99.7719
18	ASHER	ASHER HS	9	5	0	4	0	0	0	0	7	2	0	34.9899	-96.9221
19	ASTEC CHARTERS	ASTEC CHARTER HS	64	4	49	0	7	4	0	0	32	32	4	35.4933	-97.5549
20	ATOKA	ATOKA HS	42	19	0	19	4	0	0	0	18	24	0	34.3795	-96.1441
21	BALKO	BALKO HS	4	2	2	0	0	0	0	0	0	4	0	36.5801	-100.6485
22	BARNSDALL	BARNSDALL HS	4	2	0	0	0	0	0	2	4	0	0	36.5631	-96.1656
23	BARTLESVILLE	BARTLESVILLE HS	188	124	13	34	10	7	0	0	85	103	16	36.7333	-95.9732
24	BATTIEST	BATTIEST HS	0	0	0	0	0	0	0	0	0	0	0	34.3948	-94.9265
25	BEAVER	BEAVER HS	0	0	0	0	0	0	0	0	0	0	0	36.8095	-100.5239
26	BEGGS	BEGGS HS	8	4	0	4	0	0	0	0	4	4	0	35.7493	-96.0829
27	BENNINGTON	BENNINGTON HS	0	0	0	0	0	0	0	0	0	0	0	34.0048	-96.0373
28	BERRYHILL	BERRYHILL HS	44	25	2	2	2	0	0	13	23	21	0	36.118	-96.063
29	BETHANY	BETHANY HS	129	91	13	19	4	2	0	0	65	64	2	35.5152	-97.631
30	BETHEL	BETHEL HS	49	43	0	4	2	0	0	0	19	30	0	35.3192	-97.0169
31	BIG PASTURE	BIG PASTURE HS	9	5	2	2	0	0	0	0	9	0	0	34.1801	-98.4701
32	BILLINGS	BILLINGS HS	4	4	0	0	0	0	0	0	2	2	0	36.5316	-97.4445
33	BINGER-ONEY	BINGER-ONEY HS	6	2	0	2	0	0	0	2	2	4	0	35.3064	-98.3446
34	BIXBY	BIXBY HS	109	85	7	7	4	2	0	4	49	60	4	35.936	-95.8752
35	BLACKWELL	BLACKWELL HS	59	55	0	4	0	0	0	0	34	25	2	36.7886	-97.2815
36	BLAIR	BLAIR HS	29	19	4	4	0	2	0	0	15	14	0	34.7786	-99.3351
37	BLANCHARD	BLANCHARD HS	62	52	4	4	0	0	0	2	29	33	0	35.1503	-97.6683
38	BLUEJACKET	BLUEJACKET HS	0	0	0	0	0	0	0	0	0	0	0	36.8017	-95.071
39	BOISE CITY	BOISE CITY HS	4	4	0	0	0	0	0	0	2	2	0	36.7282	-102.5049
40	BOKOSHE	BOKOSHE HS	0	0	0	0	0	0	0	0	0	0	0	35.1899	-94.7922
41	BOONE-APACHE	APACHE HS	17	7	4	4	0	0	0	2	11	6	0	34.894	-98.3644
42	BOSWELL	BOSWELL HS	10	4	2	4	0	0	0	0	6	4	0	34.0276	-95.8681
43	BOWLEGS	BOWLEGS HS	0	0	0	0	0	0	0	0	0	0	0	35.1479	-96.6677
44	BRAGGS	BRAGGS HS	0	0	0	0	0	0	0	0	0	0	0	35.6673	-95.1979
45	BRAY-DOYLE	BRAY-DOYLE HS	0	0	0	0	0	0	0	0	0	0	0	34.645	-97.8179
46	BRIDGE CREEK	BRIDGE CREEK HS	33	25	2	4	2	0	0	0	18	15	0	35.2328	-97.706
47	BRISTOW	BRISTOW HS	17	13	0	4	0	0	0	0	7	10	0	35.8412	-96.3978
48	BROKEN ARROW	BROKEN ARROW HS	218	142	10	19	7	16	2	22	119	99	0	36.0724	-95.7669
49	BROKEN ARROW	BROKEN ARROW N INTERMEDIATE HS	173	127	4	10	7	7	2	16	81	92	0	36.0528	-95.7811
50	BROKEN ARROW	BROKEN ARROW S INTERMEDIATE HS	136	91	10	10	4	2	0	19	70	66	0	36.0165	-95.7902
51	BROKEN BOW	BROKEN BOW HS	65	40	4	13	4	4	0	0	28	37	0	34.0314	-94.7373
52	BUFFALO	BUFFALO HS	6	4	2	0	0	0	0	0	2	4	2	36.8298	-99.627
53	BUFFALO VALLEY	BUFFALO VALLEY HS	0	0	0	0	0	0	0	0	0	0	0	34.7313	-95.2458
54	BURLINGTON	BURLINGTON HS	10	10	0	0	0	0	0	0	5	5	0	36.9016	-98.4227
55	BURNS FLAT-DILL CITY	BURNS FLAT-DILL CITY HS	18	16	2	0	0	0	0	0	7	11	0	35.3484	-99.1708
56	BUTNER	BUTNER HS	0	0	0	0	0	0	0	0	0	0	0	35.338	-96.459
57	BYNG	BYNG HS	49	28	4	13	2	0	0	2	24	25	0	34.8609	-96.6621
58	CACHE	CACHE HS	95	52	13	19	7	2	2	0	38	57	0	34.6231	-98.6249
59	CADDO	CADDO HS	6	4	0	2	0	0	0	0	4	2	0	34.1213	-96.2711
60	CALERA	CALERA HS	26	10	2	10	0	2	0	2	12	14	0	33.9365	-96.4293
61	CALUMET	CALUMET HS	2	2	0	0	0	0	0	0	0	2	0	35.6012	-98.1211
62	CALVIN	CALVIN HS	0	0	0	0	0	0	0	0	0	0	0	34.9659	-96.2459
63	CANADIAN	CANADIAN HS	8	4	0	4	0	0	0	0	4	4	0	35.1714	-95.6567
64	CANEY	CANEY HS	18	5	0	13	0	0	0	0	13	5	0	34.2356	-96.2116
65	CANEY VALLEY	CANEY VALLEY HS	23	19	0	4	0	0	0	0	16	7	0	36.5325	-95.9248
66	CANTON	CANTON HS	17	13	0	4	0	0	0	0	7	10	0	36.049	-98.5871
67	CANUTE	CANUTE HS	2	2	0	0	0	0	0	0	2	0	0	35.4178	-99.2821
68	CARNEGIE	CARNEGIE HS	0	0	0	0	0	0	0	0	0	0	0	35.1027	-98.6034
69	CARNEY	CARNEY HS	0	0	0	0	0	0	0	0	0	0	0	35.8045	-97.0127
70	CASHION	CASHION HS	6	4	0	0	0	0	0	2	4	2	0	35.8012	-97.6772
71	CATOOSA	CATOOSA HS	80	34	10	34	2	0	0	0	35	45	0	36.1689	-95.7556
72	CAVE SPRINGS	CAVE SPRINGS HS	0	0	0	0	0	0	0	0	0	0	0	35.7179	-94.7512
73	CEMENT	CEMENT HS	9	7	0	2	0	0	0	0	4	5	0	34.9308	-98.1396
74	CENTRAL	CENTRAL HS	16	2	0	2	0	0	2	10	5	11	0	35.4485	-94.7072
75	CENTRAL HIGH	CENTRAL HIGH HS	23	19	2	2	0	0	0	0	15	8	0	34.6079	-98.0932
76	CHANDLER	CHANDLER HS	38	34	0	0	4	0	0	0	19	19	0	35.7052	-96.8825
77	CHATTANOOGA	CHATTANOOGA HS	11	7	0	4	0	0	0	0	4	7	0	34.424	-98.6564
78	CHECOTAH	CHECOTAH HS	34	19	0	13	2	0	0	0	13	21	0	35.4707	-95.5376
